Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,34.0306,34.0306,32.8865,33.9423,43713.805462137
2000-01-04,33.1175,34.4881,32.8865,33.5732,132180.64248656
2000-01-05,31.2911,32.4353,31.2911,31.5194,52300.854128999
2000-01-06,32.4353,33.5732,32.4353,33.344,190222.96358466
2000-01-07,34.2599,35.9952,34.2599,35.5386,233397.14889359
2000-01-10,37.686,39.9715,36.5463,38.8275,153452.19454296
2000-01-11,38.5992,39.5141,37.2277,39.5141,164126.8415144
2000-01-12,38.3717,39.5141,38.3717,39.2858,102323.18502633
2000-01-13,40.2016,42.2536,40.2016,42.0262,164850.52701648
2000-01-14,42.4828,42.4828,39.9715,41.3405,150645.48378844
2000-01-17,41.1113,41.7971,41.1113,41.7086,65904.540999853
2000-01-18,41.7971,42.2536,40.4237,40.7946,114175.39292533
